card_name,set,set_name,modern,usd,eur
Unwinding Clock,c18,Commander 2018,legal,1.99,2.09
"Varina, Lich Queen",c18,Commander 2018,not_legal,2.29,2.8
Windgrace's Judgment,c18,Commander 2018,not_legal,6.77,5.03
"Xantcha, Sleeper Agent",c18,Commander 2018,not_legal,4.42,2.08
"Yuriko, the Tiger's Shadow",c18,Commander 2018,not_legal,14.0,11.9
Aggressive Mammoth,m19,Core Set 2019,legal,2.86,2.7
"Ajani, Adversary of Tyrants",m19,Core Set 2019,legal,8.06,8.4
"Ajani, Wise Counselor",m19,Core Set 2019,legal,6.14,7.09
"Arcades, the Strategist",m19,Core Set 2019,legal,3.4,4.11
"Chromium, the Mutable",m19,Core Set 2019,legal,1.93,3.07
Crucible of Worlds,m19,Core Set 2019,legal,14.61,11.23
Death Baron,m19,Core Set 2019,legal,2.67,2.8
"Liliana, the Necromancer",m19,Core Set 2019,legal,7.11,9.22
"Liliana, Untouched by Death",m19,Core Set 2019,legal,4.19,5.45
Mist-Cloaked Herald,m19,Core Set 2019,legal,1.29,2.81
"Nicol Bolas, the Ravager // Nicol Bolas, the Arisen",m19,Core Set 2019,legal,22.5,19.54
Omniscience,m19,Core Set 2019,legal,4.25,3.97
Resplendent Angel,m19,Core Set 2019,legal,8.84,9.13
"Sai, Master Thopterist",m19,Core Set 2019,legal,2.99,3.21
"Sarkhan, Dragonsoul",m19,Core Set 2019,legal,8.76,9.51
"Sarkhan, Fireblood",m19,Core Set 2019,legal,12.27,12.49
Scapeshift,m19,Core Set 2019,legal,7.86,8.17
Supreme Phantom,m19,Core Set 2019,legal,2.04,3.27
"Tezzeret, Artifice Master",m19,Core Set 2019,legal,5.91,6.95
"Tezzeret, Cruel Machinist",m19,Core Set 2019,legal,4.73,5.26
Vivien of the Arkbow,m19,Core Set 2019,legal,5.99,4.95
Vivien Reid,m19,Core Set 2019,legal,6.61,8.11
Ancestor Dragon,gs1,Global Series Jiang Yanggu & Mu Yanling,not_legal,0.39,2.66
Jiang Yanggu,gs1,Global Series Jiang Yanggu & Mu Yanling,not_legal,6.07,6.43
Mu Yanling,gs1,Global Series Jiang Yanggu & Mu Yanling,not_legal,6.82,7.75
Gifts Ungiven,ss1,Signature Spellbook: Jace,legal,3.49,2.62
Mystical Tutor,ss1,Signature Spellbook: Jace,not_legal,5.65,2.4
Ash Barrens,cm2,Commander Anthology Volume II,not_legal,2.03,2.22
"Atraxa, Praetors' Voice",cm2,Commander Anthology Volume II,not_legal,16.3,11.45
Blade of Selves,cm2,Commander Anthology Volume II,not_legal,5.16,3.24
Blasphemous Act,cm2,Commander Anthology Volume II,legal,2.44,2.11
Caged Sun,cm2,Commander Anthology Volume II,legal,6.98,3.77
"Damia, Sage of Stone",cm2,Commander Anthology Volume II,not_legal,6.42,2.79
"Daretti, Scrap Savant",cm2,Commander Anthology Volume II,not_legal,4.56,2.06
Deepglow Skate,cm2,Commander Anthology Volume II,not_legal,6.66,2.98
Eternal Witness,cm2,Commander Anthology Volume II,legal,6.99,3.97
Fiery Confluence,cm2,Commander Anthology Volume II,not_legal,13.75,13.48
"Gisela, Blade of Goldnight",cm2,Commander Anthology Volume II,legal,4.49,2.54
Grave Pact,cm2,Commander Anthology Volume II,legal,10.92,6.44
Hardened Scales,cm2,Commander Anthology Volume II,legal,5.11,3.14
Kalonian Hydra,cm2,Commander Anthology Volume II,legal,4.99,2.57
Lightning Greaves,cm2,Commander Anthology Volume II,legal,4.64,2.04
Oblivion Stone,cm2,Commander Anthology Volume II,legal,5.96,3.82
"Reyhan, Last of the Abzan",cm2,Commander Anthology Volume II,not_legal,3.82,2.69
Ruby Medallion,cm2,Commander Anthology Volume II,not_legal,5.17,3.11
Scavenging Ooze,cm2,Commander Anthology Volume II,legal,3.17,2.91
"Skullbriar, the Walking Grave",cm2,Commander Anthology Volume II,not_legal,3.18,2.03
The Mimeoplasm,cm2,Commander Anthology Volume II,not_legal,4.8,2.79
Thought Vessel,cm2,Commander Anthology Volume II,not_legal,6.9,3.63
Urza's Incubator,cm2,Commander Anthology Volume II,not_legal,9.99,5.96
Wurmcoil Engine,cm2,Commander Anthology Volume II,legal,20.49,13.76
Arcane Artisan,bbd,Battlebond,not_legal,7.85,6.18
Archfiend of Despair,bbd,Battlebond,not_legal,6.08,2.79
Arena Rector,bbd,Battlebond,not_legal,13.64,11.82
Bountiful Promenade,bbd,Battlebond,not_legal,6.9,4.3
Bramble Sovereign,bbd,Battlebond,not_legal,7.75,5.97
Brightling,bbd,Battlebond,not_legal,10.61,9.04
Diabolic Intent,bbd,Battlebond,not_legal,4.92,3.47
Doubling Season,bbd,Battlebond,legal,33.59,24.85
Land Tax,bbd,Battlebond,not_legal,17.24,12.9
Luxury Suite,bbd,Battlebond,not_legal,6.49,4.14
Morphic Pool,bbd,Battlebond,not_legal,9.75,5.18
Mycosynth Lattice,bbd,Battlebond,legal,7.99,3.73
Mystic Confluence,bbd,Battlebond,not_legal,2.74,2.79
"Najeela, the Blade-Blossom",bbd,Battlebond,not_legal,6.85,5.43
Nirkana Revenant,bbd,Battlebond,legal,4.99,3.2
Rowan Kenrith,bbd,Battlebond,not_legal,3.49,2.76
Sea of Clouds,bbd,Battlebond,not_legal,7.53,4.62
Seedborn Muse,bbd,Battlebond,legal,5.99,3.02
Spellseeker,bbd,Battlebond,not_legal,5.39,4.69
Spire Garden,bbd,Battlebond,not_legal,5.16,3.47
True-Name Nemesis,bbd,Battlebond,not_legal,10.38,11.33
Will Kenrith,bbd,Battlebond,not_legal,5.99,5.66
"Chandra, Bold Pyromancer",dom,Dominaria,legal,3.99,4.42
Goblin Chainwhirler,dom,Dominaria,legal,3.77,3.04
Hinterland Harbor,dom,Dominaria,legal,2.78,2.2
History of Benalia,dom,Dominaria,legal,11.04,10.08
Isolated Chapel,dom,Dominaria,legal,3.0,2.57
Jaya Ballard,dom,Dominaria,legal,3.66,2.72
"Karn, Scion of Urza",dom,Dominaria,legal,26.81,25.2
Lyra Dawnbringer,dom,Dominaria,legal,11.8,10.35
Mox Amber,dom,Dominaria,legal,10.11,8.86
"Muldrotha, the Gravetide",dom,Dominaria,legal,3.49,2.27
"Shalai, Voice of Plenty",dom,Dominaria,legal,2.68,2.6
Steel Leaf Champion,dom,Dominaria,legal,3.61,2.57
Sulfur Falls,dom,Dominaria,legal,4.7,3.79
"Teferi, Hero of Dominaria",dom,Dominaria,legal,44.44,44.34
"Teferi, Timebender",dom,Dominaria,legal,2.79,5.29
Woodland Cemetery,dom,Dominaria,legal,4.2,3.37
Darksteel Plate,ddu,Duel Decks: Elves vs. Inventors,legal,4.23,2.67
Elvish Archdruid,ddu,Duel Decks: Elves vs. Inventors,legal,2.65,2.28
"Ezuri, Renegade Leader",ddu,Duel Decks: Elves vs. Inventors,legal,3.95,2.68
Goblin Welder,ddu,Duel Decks: Elves vs. Inventors,not_legal,1.0,2.4
Solemn Simulacrum,ddu,Duel Decks: Elves vs. Inventors,legal,4.87,2.17
Ancient Stirrings,a25,Masters 25,legal,1.91,2.21
"Animar, Soul of Elements",a25,Masters 25,not_legal,7.28,7.02
Armageddon,a25,Masters 25,not_legal,2.99,2.5
Ash Barrens,a25,Masters 25,not_legal,2.04,2.01
"Azusa, Lost but Seeking",a25,Masters 25,legal,17.51,13.42
Blood Moon,a25,Masters 25,legal,17.42,18.54
Cascade Bluffs,a25,Masters 25,legal,6.02,6.29
Chalice of the Void,a25,Masters 25,legal,39.86,33.57
Coalition Relic,a25,Masters 25,legal,4.49,3.06
Courser of Kruphix,a25,Masters 25,legal,3.51,3.55
Eidolon of the Great Revel,a25,Masters 25,legal,3.86,5.47
Eladamri's Call,a25,Masters 25,not_legal,2.99,2.83
Ensnaring Bridge,a25,Masters 25,legal,39.9,37.22
Fetid Heath,a25,Masters 25,legal,6.31,6.61
Flooded Grove,a25,Masters 25,legal,5.03,5.25
"Gisela, Blade of Goldnight",a25,Masters 25,legal,3.99,2.88
Imperial Recruiter,a25,Masters 25,not_legal,26.4,25.9
"Jace, the Mind Sculptor",a25,Masters 25,legal,81.49,76.89
Lightning Bolt,a25,Masters 25,legal,2.9,2.64
Master of the Wild Hunt,a25,Masters 25,legal,2.83,3.12
Pact of Negation,a25,Masters 25,legal,9.49,8.13
Pendelhaven,a25,Masters 25,legal,1.99,2.85
Pernicious Deed,a25,Masters 25,not_legal,2.99,2.22
Phyrexian Obliterator,a25,Masters 25,legal,17.56,17.29
Rest in Peace,a25,Masters 25,legal,5.35,5.69
Rishadan Port,a25,Masters 25,not_legal,17.44,22.28
Rugged Prairie,a25,Masters 25,legal,4.14,3.83
Street Wraith,a25,Masters 25,legal,1.99,2.7
Summoner's Pact,a25,Masters 25,legal,4.99,5.69
"Thalia, Guardian of Thraben",a25,Masters 25,legal,9.51,10.77
Twilight Mire,a25,Masters 25,legal,5.65,6.99
Utopia Sprawl,a25,Masters 25,legal,2.99,2.17
Vendilion Clique,a25,Masters 25,legal,18.91,18.36
Vindicate,a25,Masters 25,not_legal,2.71,2.71
"Angrath, the Flame-Chained",rix,Rivals of Ixalan,legal,5.76,4.66
Azor's Gateway // Sanctum of the Sun,rix,Rivals of Ixalan,legal,2.99,3.77
Dire Fleet Daredevil,rix,Rivals of Ixalan,legal,1.99,2.81
"Elenda, the Dusk Rose",rix,Rivals of Ixalan,legal,6.99,4.21
"Ghalta, Primal Hunger",rix,Rivals of Ixalan,legal,8.39,6.61
"Huatli, Radiant Champion",rix,Rivals of Ixalan,legal,5.17,3.76
Jadelight Ranger,rix,Rivals of Ixalan,legal,4.99,5.06
"Journey to Eternity // Atzal, Cave of Eternity",rix,Rivals of Ixalan,legal,2.03,2.04
"Kumena, Tyrant of Orazca",rix,Rivals of Ixalan,legal,5.33,5.59
Polyraptor,rix,Rivals of Ixalan,legal,1.99,2.39
Radiant Destiny,rix,Rivals of Ixalan,legal,3.38,2.38
Rekindling Phoenix,rix,Rivals of Ixalan,legal,20.5,18.7
Tendershoot Dryad,rix,Rivals of Ixalan,legal,3.85,4.07
The Immortal Sun,rix,Rivals of Ixalan,legal,10.56,7.79
Twilight Prophet,rix,Rivals of Ixalan,legal,8.19,6.88
"Vraska, Scheming Gorgon",rix,Rivals of Ixalan,legal,4.28,5.08
Wayward Swordtooth,rix,Rivals of Ixalan,legal,5.08,2.7
"Zacama, Primal Calamity",rix,Rivals of Ixalan,legal,9.49,5.29
Island,ust,Unstable,legal,4.04,2.46
Swamp,ust,Unstable,legal,3.57,2.14
Adaptive Automaton,e02,Explorers of Ixalan,legal,2.93,3.24
Aggravated Assault,e02,Explorers of Ixalan,not_legal,5.35,5.1
Path to Exile,e02,Explorers of Ixalan,legal,6.99,5.96
Quicksilver Amulet,e02,Explorers of Ixalan,legal,4.44,4.93
Shared Animosity,e02,Explorers of Ixalan,legal,5.07,5.43
Time Warp,e02,Explorers of Ixalan,legal,9.99,10.43
"Archangel Avacyn // Avacyn, the Purifier",v17,From the Vault: Transform,legal,4.99,3.85
"Arlinn Kord // Arlinn, Embraced by the Moon",v17,From the Vault: Transform,legal,3.47,2.24
Bloodline Keeper // Lord of Lineage,v17,From the Vault: Transform,legal,9.85,7.53
Delver of Secrets // Insectile Aberration,v17,From the Vault: Transform,legal,9.77,8.06
"Garruk Relentless // Garruk, the Veil-Cursed",v17,From the Vault: Transform,legal,4.24,3.38
Huntmaster of the Fells // Ravager of the Fells,v17,From the Vault: Transform,legal,10.99,9.31
"Jace, Vryn's Prodigy // Jace, Telepath Unbound",v17,From the Vault: Transform,legal,16.46,16.36
"Kytheon, Hero of Akros // Gideon, Battle-Forged",v17,From the Vault: Transform,legal,3.99,3.97
"Liliana, Heretical Healer // Liliana, Defiant Necromancer",v17,From the Vault: Transform,legal,9.54,6.28
"Nissa, Vastwood Seer // Nissa, Sage Animist",v17,From the Vault: Transform,legal,6.81,5.03
Aether Vial,ima,Iconic Masters,legal,33.28,24.11
Ancestral Vision,ima,Iconic Masters,legal,9.71,10.33
Archangel of Thune,ima,Iconic Masters,legal,12.03,10.63
Auriok Champion,ima,Iconic Masters,legal,3.78,3.93
Austere Command,ima,Iconic Masters,legal,4.95,2.78
"Avacyn, Angel of Hope",ima,Iconic Masters,legal,17.18,10.5
Bloodghast,ima,Iconic Masters,legal,11.95,11.34
Consecrated Sphinx,ima,Iconic Masters,legal,12.8,8.78
Cryptic Command,ima,Iconic Masters,legal,22.12,20.62
"Elesh Norn, Grand Cenobite",ima,Iconic Masters,legal,13.03,10.33
Flusterstorm,ima,Iconic Masters,not_legal,12.33,13.06
Glimpse the Unthinkable,ima,Iconic Masters,legal,5.3,4.77
Grove of the Burnwillows,ima,Iconic Masters,legal,11.76,12.01
Horizon Canopy,ima,Iconic Masters,legal,54.19,49.38
"Jin-Gitaxias, Core Augur",ima,Iconic Masters,legal,6.21,4.64
"Kiki-Jiki, Mirror Breaker",ima,Iconic Masters,legal,7.54,5.63
Knight of the Reliquary,ima,Iconic Masters,legal,3.2,3.2
"Kokusho, the Evening Star",ima,Iconic Masters,legal,4.92,3.53
Lotus Cobra,ima,Iconic Masters,legal,5.8,4.07
Magus of the Moon,ima,Iconic Masters,legal,5.39,5.33
Mana Drain,ima,Iconic Masters,not_legal,50.5,39.66
Mishra's Bauble,ima,Iconic Masters,legal,3.47,4.11
Necropotence,ima,Iconic Masters,not_legal,5.49,3.09
Oblivion Stone,ima,Iconic Masters,legal,5.55,3.89
"Ob Nixilis, the Fallen",ima,Iconic Masters,legal,8.47,2.44
Primeval Titan,ima,Iconic Masters,legal,7.53,7.2
Restoration Angel,ima,Iconic Masters,legal,2.08,2.36
Serra Ascendant,ima,Iconic Masters,legal,5.73,5.26
"Sheoldred, Whispering One",ima,Iconic Masters,legal,12.44,7.08
Supreme Verdict,ima,Iconic Masters,legal,4.23,3.94
Thoughtseize,ima,Iconic Masters,legal,14.01,15.03
Thundermaw Hellkite,ima,Iconic Masters,legal,3.47,3.56
Urabrask the Hidden,ima,Iconic Masters,legal,3.52,2.62
"Vorinclex, Voice of Hunger",ima,Iconic Masters,legal,12.3,7.41
Goblin Chieftain,ddt,Duel Decks: Merfolk vs. Goblins,legal,2.84,2.55
Goblin Rabblemaster,ddt,Duel Decks: Merfolk vs. Goblins,legal,3.72,2.99
Master of the Pearl Trident,ddt,Duel Decks: Merfolk vs. Goblins,legal,4.05,4.94
Master of Waves,ddt,Duel Decks: Merfolk vs. Goblins,legal,1.75,2.25
Warren Instigator,ddt,Duel Decks: Merfolk vs. Goblins,legal,2.65,2.69
Carnage Tyrant,xln,Ixalan,legal,18.99,13.7
Dragonskull Summit,xln,Ixalan,legal,3.38,2.45
Drowned Catacomb,xln,Ixalan,legal,5.1,3.52
Field of Ruin,xln,Ixalan,legal,3.65,3.08
"Gishath, Sun's Avatar",xln,Ixalan,legal,2.73,2.14
Glacial Fortress,xln,Ixalan,legal,4.74,3.34
"Growing Rites of Itlimoc // Itlimoc, Cradle of the Sun",xln,Ixalan,legal,5.78,3.61
Hostage Taker,xln,Ixalan,legal,2.79,2.45
"Huatli, Dinosaur Knight",xln,Ixalan,legal,4.42,5.42
"Jace, Ingenious Mind-Mage",xln,Ixalan,legal,3.87,5.33
"Legion's Landing // Adanto, the First Fort",xln,Ixalan,legal,3.26,3.23
Ripjaw Raptor,xln,Ixalan,legal,2.99,2.94
Rootbound Crag,xln,Ixalan,legal,3.23,2.43
"Search for Azcanta // Azcanta, the Sunken Ruin",xln,Ixalan,legal,20.57,18.01
Settle the Wreckage,xln,Ixalan,legal,6.38,5.64
Sorcerous Spyglass,xln,Ixalan,legal,2.99,2.73
Sunpetal Grove,xln,Ixalan,legal,4.38,2.43
Treasure Map // Treasure Cove,xln,Ixalan,legal,2.49,2.67
"Vraska, Relic Seeker",xln,Ixalan,legal,8.75,6.58
Vraska's Contempt,xln,Ixalan,legal,13.4,9.53
"Arahbo, Roar of the World",c17,Commander 2017,not_legal,0.5,3.3
Bloodforged Battle-Axe,c17,Commander 2017,not_legal,4.63,2.29
Captivating Vampire,c17,Commander 2017,legal,3.66,4.12
Disrupt Decorum,c17,Commander 2017,not_legal,9.27,6.02
Door of Destinies,c17,Commander 2017,legal,5.23,3.75
Hammer of Nazahn,c17,Commander 2017,not_legal,9.76,5.54
Herald's Horn,c17,Commander 2017,not_legal,12.02,8.89
"Kess, Dissident Mage",c17,Commander 2017,not_legal,6.4,9.69
Kindred Discovery,c17,Commander 2017,not_legal,8.82,7.52
Kindred Dominance,c17,Commander 2017,not_legal,7.24,4.63
Leonin Arbiter,c17,Commander 2017,legal,2.84,2.69
"Mathas, Fiend Seeker",c17,Commander 2017,not_legal,0.76,2.24
Mirari's Wake,c17,Commander 2017,not_legal,11.54,6.56
"Mirri, Weatherlight Duelist",c17,Commander 2017,not_legal,7.3,2.99
Path of Ancestry,c17,Commander 2017,not_legal,5.49,2.74
Teferi's Protection,c17,Commander 2017,not_legal,27.99,21.73
The Ur-Dragon,c17,Commander 2017,not_legal,4.8,2.98
Traverse the Outlands,c17,Commander 2017,not_legal,7.49,4.94
Vindictive Lich,c17,Commander 2017,not_legal,2.36,2.11
Crested Sunmare,hou,Hour of Devastation,legal,3.99,2.89
"Nicol Bolas, God-Pharaoh",hou,Hour of Devastation,legal,6.12,4.84
"Nicol Bolas, the Deceiver",hou,Hour of Devastation,legal,4.77,6.32
"Nissa, Genesis Mage",hou,Hour of Devastation,legal,3.54,4.5
Ramunap Excavator,hou,Hour of Devastation,legal,3.6,2.05
"Razaketh, the Foulblooded",hou,Hour of Devastation,legal,6.56,3.36
The Locust God,hou,Hour of Devastation,legal,6.06,4.15
The Scarab God,hou,Hour of Devastation,legal,11.93,7.93
Torment of Hailfire,hou,Hour of Devastation,legal,5.01,2.86
Ramunap Excavator,phou,Hour of Devastation Promos,legal,4.3,3.91
Baleful Strix,e01,Archenemy: Nicol Bolas,not_legal,2.95,2.36
Dragonskull Summit,e01,Archenemy: Nicol Bolas,legal,3.32,2.22
Dreadbore,e01,Archenemy: Nicol Bolas,legal,3.49,2.67
Drowned Catacomb,e01,Archenemy: Nicol Bolas,legal,4.49,3.59
Gideon Jura,e01,Archenemy: Nicol Bolas,legal,3.36,2.6
Grand Abolisher,e01,Archenemy: Nicol Bolas,legal,5.64,3.08
Grim Lavamancer,e01,Archenemy: Nicol Bolas,legal,13.11,8.43
Lightning Bolt,e01,Archenemy: Nicol Bolas,legal,3.19,2.77
"Nicol Bolas, Planeswalker",e01,Archenemy: Nicol Bolas,legal,4.58,3.17
"Nissa, Worldwaker",e01,Archenemy: Nicol Bolas,legal,3.81,2.2
Sun Titan,e01,Archenemy: Nicol Bolas,legal,3.28,2.27
Bane of Progress,cma,Commander Anthology,not_legal,4.59,2.19
Eldrazi Monument,cma,Commander Anthology,legal,6.66,3.18
Eternal Witness,cma,Commander Anthology,legal,7.35,4.62
"Ezuri, Renegade Leader",cma,Commander Anthology,legal,4.49,3.44
"Freyalise, Llanowar's Fury",cma,Commander Anthology,not_legal,8.99,7.0
Joraga Warcaller,cma,Commander Anthology,legal,3.76,2.76
Kaalia of the Vast,cma,Commander Anthology,not_legal,16.26,11.64
Lightning Greaves,cma,Commander Anthology,legal,3.99,2.17
"Mazirek, Kraul Death Priest",cma,Commander Anthology,not_legal,4.24,2.33
Meren of Clan Nel Toth,cma,Commander Anthology,not_legal,8.99,7.13
Path to Exile,cma,Commander Anthology,legal,7.44,5.82
Priest of Titania,cma,Commander Anthology,not_legal,4.49,2.42
Song of the Dryads,cma,Commander Anthology,not_legal,6.34,4.07
Stranglehold,cma,Commander Anthology,not_legal,7.53,4.98
Sylvan Safekeeper,cma,Commander Anthology,not_legal,6.82,5.06
Thought Vessel,cma,Commander Anthology,not_legal,6.31,4.17
Thousand-Year Elixir,cma,Commander Anthology,legal,5.06,2.61
"Titania, Protector of Argoth",cma,Commander Anthology,not_legal,16.99,8.33
Anointed Procession,akh,Amonkhet,legal,5.37,3.44
As Foretold,akh,Amonkhet,legal,5.73,5.51
Combat Celebrant,akh,Amonkhet,legal,1.99,2.05
"Gideon, Martial Paragon",akh,Amonkhet,legal,2.52,3.22
Gideon of the Trials,akh,Amonkhet,legal,4.49,4.74
Hazoret the Fervent,akh,Amonkhet,legal,3.29,3.29
"Liliana, Death's Majesty",akh,Amonkhet,legal,6.94,5.41
"Nissa, Steward of Elements",akh,Amonkhet,legal,3.17,3.25
Rhonas the Indomitable,akh,Amonkhet,legal,8.0,5.25
Vizier of the Menagerie,akh,Amonkhet,legal,2.87,2.02
Glorybringer,pakh,Amonkhet Promos,legal,3.99,3.37
Aggravated Assault,mp2,Amonkhet Invocations,not_legal,31.87,24.64
Armageddon,mp2,Amonkhet Invocations,not_legal,31.8,26.25
Attrition,mp2,Amonkhet Invocations,not_legal,28.16,21.63
Austere Command,mp2,Amonkhet Invocations,legal,32.14,25.23
Avatar of Woe,mp2,Amonkhet Invocations,legal,20.72,19.05
Aven Mindcensor,mp2,Amonkhet Invocations,legal,26.03,21.67
Blood Moon,mp2,Amonkhet Invocations,legal,156.68,110.23
Boil,mp2,Amonkhet Invocations,legal,19.21,19.78
Bontu the Glorified,mp2,Amonkhet Invocations,legal,24.38,19.03
Capsize,mp2,Amonkhet Invocations,not_legal,39.25,31.6
Chain Lightning,mp2,Amonkhet Invocations,not_legal,31.24,29.0
Choke,mp2,Amonkhet Invocations,legal,40.62,37.49
Consecrated Sphinx,mp2,Amonkhet Invocations,legal,66.34,45.54
Containment Priest,mp2,Amonkhet Invocations,not_legal,56.54,45.04
Counterbalance,mp2,Amonkhet Invocations,legal,38.76,36.17
Counterspell,mp2,Amonkhet Invocations,not_legal,60.49,70.75
Cryptic Command,mp2,Amonkhet Invocations,legal,80.91,65.53
Damnation,mp2,Amonkhet Invocations,legal,105.55,79.89
Dark Ritual,mp2,Amonkhet Invocations,not_legal,51.27,33.2
Daze,mp2,Amonkhet Invocations,not_legal,73.76,93.16
Desolation Angel,mp2,Amonkhet Invocations,not_legal,19.71,21.21
Diabolic Edict,mp2,Amonkhet Invocations,not_legal,32.31,23.95
Diabolic Intent,mp2,Amonkhet Invocations,not_legal,40.84,36.37
Divert,mp2,Amonkhet Invocations,not_legal,19.04,15.11
Doomsday,mp2,Amonkhet Invocations,not_legal,26.21,19.8
Entomb,mp2,Amonkhet Invocations,not_legal,53.72,37.05
Forbid,mp2,Amonkhet Invocations,not_legal,28.39,21.78
Force of Will,mp2,Amonkhet Invocations,not_legal,216.27,171.83
Hazoret the Fervent,mp2,Amonkhet Invocations,legal,84.24,49.34
Kefnet the Mindful,mp2,Amonkhet Invocations,legal,23.94,20.27
Lord of Extinction,mp2,Amonkhet Invocations,legal,35.47,22.92
Loyal Retainers,mp2,Amonkhet Invocations,not_legal,29.39,25.14
Maelstrom Pulse,mp2,Amonkhet Invocations,legal,67.44,45.8
Mind Twist,mp2,Amonkhet Invocations,not_legal,29.9,27.61
No Mercy,mp2,Amonkhet Invocations,not_legal,43.7,30.66
Oketra the True,mp2,Amonkhet Invocations,legal,24.03,16.23
Omniscience,mp2,Amonkhet Invocations,legal,111.35,80.65
Opposition,mp2,Amonkhet Invocations,not_legal,22.7,21.74
Pact of Negation,mp2,Amonkhet Invocations,legal,48.85,38.01
Rhonas the Indomitable,mp2,Amonkhet Invocations,legal,53.41,39.82
Shatterstorm,mp2,Amonkhet Invocations,legal,23.0,19.99
Slaughter Pact,mp2,Amonkhet Invocations,legal,24.88,19.89
Spell Pierce,mp2,Amonkhet Invocations,legal,51.57,43.3
Stifle,mp2,Amonkhet Invocations,not_legal,44.88,39.0
Sunder,mp2,Amonkhet Invocations,not_legal,19.59,15.54
The Locust God,mp2,Amonkhet Invocations,legal,49.68,30.09
The Scarab God,mp2,Amonkhet Invocations,legal,94.21,61.4
The Scorpion God,mp2,Amonkhet Invocations,legal,28.13,22.17
Thoughtseize,mp2,Amonkhet Invocations,legal,162.56,114.73
Threads of Disloyalty,mp2,Amonkhet Invocations,legal,17.99,14.58
Through the Breach,mp2,Amonkhet Invocations,legal,89.44,82.5
Vindicate,mp2,Amonkhet Invocations,not_legal,29.28,24.47
Worship,mp2,Amonkhet Invocations,legal,35.78,33.93
Wrath of God,mp2,Amonkhet Invocations,legal,49.89,44.87
Coat of Arms,dds,Duel Decks: Mind vs. Might,legal,6.75,4.64
Abrupt Decay,mm3,Modern Masters 2017,legal,3.63,3.5
Arid Mesa,mm3,Modern Masters 2017,legal,37.93,27.57
Basilisk Collar,mm3,Modern Masters 2017,legal,4.18,3.3
Blood Moon,mm3,Modern Masters 2017,legal,17.39,17.82
Bonfire of the Damned,mm3,Modern Masters 2017,legal,2.99,2.67
Cavern of Souls,mm3,Modern Masters 2017,legal,77.2,71.45
Craterhoof Behemoth,mm3,Modern Masters 2017,legal,20.58,13.96
Cyclonic Rift,mm3,Modern Masters 2017,legal,16.82,11.26
Damnation,mm3,Modern Masters 2017,legal,26.66,17.05
Death's Shadow,mm3,Modern Masters 2017,legal,8.33,8.84
Domri Rade,mm3,Modern Masters 2017,legal,3.37,2.94
Entreat the Angels,mm3,Modern Masters 2017,legal,2.29,3.5
Gifts Ungiven,mm3,Modern Masters 2017,legal,3.72,3.83
Goblin Guide,mm3,Modern Masters 2017,legal,18.84,15.14
Grafdigger's Cage,mm3,Modern Masters 2017,legal,5.91,4.91
Griselbrand,mm3,Modern Masters 2017,legal,8.25,7.47
Inquisition of Kozilek,mm3,Modern Masters 2017,legal,4.39,4.23
Liliana of the Veil,mm3,Modern Masters 2017,legal,82.7,83.29
"Linvala, Keeper of Silence",mm3,Modern Masters 2017,legal,14.88,10.88
Marsh Flats,mm3,Modern Masters 2017,legal,39.44,28.65
Misty Rainforest,mm3,Modern Masters 2017,legal,42.26,30.92
