card_name,set,set_name,modern,usd,eur
"Legion's Landing // Adanto, the First Fort",xln,Ixalan,legal,3.18,3.23
Ripjaw Raptor,xln,Ixalan,legal,2.97,2.90
Rootbound Crag,xln,Ixalan,legal,3.22,2.45
"Search for Azcanta // Azcanta, the Sunken Ruin",xln,Ixalan,legal,20.68,18.02
Settle the Wreckage,xln,Ixalan,legal,6.39,5.56
Sorcerous Spyglass,xln,Ixalan,legal,2.99,2.74
Sunpetal Grove,xln,Ixalan,legal,4.27,2.44
Treasure Map // Treasure Cove,xln,Ixalan,legal,2.49,2.66
"Vraska, Relic Seeker",xln,Ixalan,legal,8.52,6.53
Vraska's Contempt,xln,Ixalan,legal,13.32,9.67
"Arahbo, Roar of the World",c17,Commander 2017,not_legal,0.48,3.30
Bloodforged Battle-Axe,c17,Commander 2017,not_legal,4.42,2.25
Captivating Vampire,c17,Commander 2017,legal,3.75,4.13
Disrupt Decorum,c17,Commander 2017,not_legal,9.06,6.00
Door of Destinies,c17,Commander 2017,legal,5.26,3.80
Hammer of Nazahn,c17,Commander 2017,not_legal,9.72,5.43
Herald's Horn,c17,Commander 2017,not_legal,12.18,8.86
"Kess, Dissident Mage",c17,Commander 2017,not_legal,6.40,9.69
Kindred Discovery,c17,Commander 2017,not_legal,8.82,7.39
Kindred Dominance,c17,Commander 2017,not_legal,7.24,4.55
Leonin Arbiter,c17,Commander 2017,legal,2.84,2.68
"Mathas, Fiend Seeker",c17,Commander 2017,not_legal,0.75,2.24
Mirari's Wake,c17,Commander 2017,not_legal,11.35,6.51
"Mirri, Weatherlight Duelist",c17,Commander 2017,not_legal,7.22,2.99
Path of Ancestry,c17,Commander 2017,not_legal,5.49,2.76
Teferi's Protection,c17,Commander 2017,not_legal,27.99,21.69
The Ur-Dragon,c17,Commander 2017,not_legal,4.84,2.98
Traverse the Outlands,c17,Commander 2017,not_legal,6.99,4.94
Vindictive Lich,c17,Commander 2017,not_legal,2.36,2.11
Crested Sunmare,hou,Hour of Devastation,legal,3.99,2.71
"Nicol Bolas, God-Pharaoh",hou,Hour of Devastation,legal,6.09,4.75
"Nicol Bolas, the Deceiver",hou,Hour of Devastation,legal,4.84,6.32
"Nissa, Genesis Mage",hou,Hour of Devastation,legal,3.54,4.50
Ramunap Excavator,hou,Hour of Devastation,legal,3.58,2.04
"Razaketh, the Foulblooded",hou,Hour of Devastation,legal,6.49,3.37
The Locust God,hou,Hour of Devastation,legal,6.03,4.45
The Scarab God,hou,Hour of Devastation,legal,11.99,7.79
Torment of Hailfire,hou,Hour of Devastation,legal,5.06,2.85
Ramunap Excavator,phou,Hour of Devastation Promos,legal,4.30,3.91
Baleful Strix,e01,Archenemy: Nicol Bolas,not_legal,2.95,2.35
Dragonskull Summit,e01,Archenemy: Nicol Bolas,legal,3.32,2.17
Dreadbore,e01,Archenemy: Nicol Bolas,legal,3.49,2.71
Drowned Catacomb,e01,Archenemy: Nicol Bolas,legal,4.49,3.58
Gideon Jura,e01,Archenemy: Nicol Bolas,legal,3.36,2.60
Grand Abolisher,e01,Archenemy: Nicol Bolas,legal,5.66,3.07
Grim Lavamancer,e01,Archenemy: Nicol Bolas,legal,13.11,8.45
Lightning Bolt,e01,Archenemy: Nicol Bolas,legal,3.19,2.80
"Nicol Bolas, Planeswalker",e01,Archenemy: Nicol Bolas,legal,4.58,3.17
"Nissa, Worldwaker",e01,Archenemy: Nicol Bolas,legal,3.82,2.20
Sun Titan,e01,Archenemy: Nicol Bolas,legal,3.28,2.28
Bane of Progress,cma,Commander Anthology,not_legal,4.59,2.05
Eldrazi Monument,cma,Commander Anthology,legal,6.75,3.22
Eternal Witness,cma,Commander Anthology,legal,7.35,4.72
"Ezuri, Renegade Leader",cma,Commander Anthology,legal,4.49,3.44
"Freyalise, Llanowar's Fury",cma,Commander Anthology,not_legal,8.99,7.03
Joraga Warcaller,cma,Commander Anthology,legal,3.72,2.72
Kaalia of the Vast,cma,Commander Anthology,not_legal,16.26,11.64
Lightning Greaves,cma,Commander Anthology,legal,3.99,2.19
"Mazirek, Kraul Death Priest",cma,Commander Anthology,not_legal,4.15,2.31
Meren of Clan Nel Toth,cma,Commander Anthology,not_legal,8.99,7.24
Path to Exile,cma,Commander Anthology,legal,7.44,5.78
Priest of Titania,cma,Commander Anthology,not_legal,4.49,2.42
Song of the Dryads,cma,Commander Anthology,not_legal,6.40,4.02
Stranglehold,cma,Commander Anthology,not_legal,7.62,4.64
Sylvan Safekeeper,cma,Commander Anthology,not_legal,6.82,4.81
Thought Vessel,cma,Commander Anthology,not_legal,6.31,4.17
Thousand-Year Elixir,cma,Commander Anthology,legal,5.06,2.62
"Titania, Protector of Argoth",cma,Commander Anthology,not_legal,16.99,8.30
Anointed Procession,akh,Amonkhet,legal,5.47,3.45
As Foretold,akh,Amonkhet,legal,5.71,5.52
Combat Celebrant,akh,Amonkhet,legal,1.99,2.08
"Gideon, Martial Paragon",akh,Amonkhet,legal,2.50,3.22
Gideon of the Trials,akh,Amonkhet,legal,4.49,4.86
Hazoret the Fervent,akh,Amonkhet,legal,3.32,3.21
"Liliana, Death's Majesty",akh,Amonkhet,legal,6.99,5.49
"Liliana, Death Wielder",akh,Amonkhet,legal,4.65,4.23
"Nissa, Steward of Elements",akh,Amonkhet,legal,3.23,3.34
Rhonas the Indomitable,akh,Amonkhet,legal,8.19,5.30
Vizier of the Menagerie,akh,Amonkhet,legal,2.98,2.02
Glorybringer,pakh,Amonkhet Promos,legal,3.99,3.37
Aggravated Assault,mp2,Amonkhet Invocations,not_legal,31.87,24.64
Armageddon,mp2,Amonkhet Invocations,not_legal,31.85,26.25
Attrition,mp2,Amonkhet Invocations,not_legal,28.11,21.63
Austere Command,mp2,Amonkhet Invocations,legal,32.48,25.23
Avatar of Woe,mp2,Amonkhet Invocations,legal,20.76,19.05
Aven Mindcensor,mp2,Amonkhet Invocations,legal,25.95,21.67
Blood Moon,mp2,Amonkhet Invocations,legal,156.68,110.23
Boil,mp2,Amonkhet Invocations,legal,19.21,19.78
Bontu the Glorified,mp2,Amonkhet Invocations,legal,24.52,19.16
Capsize,mp2,Amonkhet Invocations,not_legal,39.25,31.63
Chain Lightning,mp2,Amonkhet Invocations,not_legal,31.24,29.00
Choke,mp2,Amonkhet Invocations,legal,40.04,35.25
Consecrated Sphinx,mp2,Amonkhet Invocations,legal,66.34,45.54
Containment Priest,mp2,Amonkhet Invocations,not_legal,56.54,45.04
Counterbalance,mp2,Amonkhet Invocations,legal,38.76,36.17
Counterspell,mp2,Amonkhet Invocations,not_legal,60.49,70.75
Cryptic Command,mp2,Amonkhet Invocations,legal,80.91,64.82
Damnation,mp2,Amonkhet Invocations,legal,104.95,79.89
Dark Ritual,mp2,Amonkhet Invocations,not_legal,51.66,33.20
Daze,mp2,Amonkhet Invocations,not_legal,73.76,93.22
Desolation Angel,mp2,Amonkhet Invocations,not_legal,19.71,21.37
Diabolic Edict,mp2,Amonkhet Invocations,not_legal,32.31,23.95
Diabolic Intent,mp2,Amonkhet Invocations,not_legal,40.84,36.37
Divert,mp2,Amonkhet Invocations,not_legal,18.96,15.07
Doomsday,mp2,Amonkhet Invocations,not_legal,26.34,19.81
Entomb,mp2,Amonkhet Invocations,not_legal,53.72,37.05
Forbid,mp2,Amonkhet Invocations,not_legal,28.31,21.78
Force of Will,mp2,Amonkhet Invocations,not_legal,214.75,171.45
Hazoret the Fervent,mp2,Amonkhet Invocations,legal,84.24,50.44
Kefnet the Mindful,mp2,Amonkhet Invocations,legal,23.94,20.27
Lord of Extinction,mp2,Amonkhet Invocations,legal,35.47,22.92
Loyal Retainers,mp2,Amonkhet Invocations,not_legal,29.39,25.14
Maelstrom Pulse,mp2,Amonkhet Invocations,legal,67.44,45.86
Mind Twist,mp2,Amonkhet Invocations,not_legal,29.90,27.61
No Mercy,mp2,Amonkhet Invocations,not_legal,43.70,31.80
Oketra the True,mp2,Amonkhet Invocations,legal,24.03,16.86
Omniscience,mp2,Amonkhet Invocations,legal,111.35,80.65
Opposition,mp2,Amonkhet Invocations,not_legal,22.70,21.74
Pact of Negation,mp2,Amonkhet Invocations,legal,48.85,37.64
Rhonas the Indomitable,mp2,Amonkhet Invocations,legal,53.41,39.82
Shatterstorm,mp2,Amonkhet Invocations,legal,23.00,19.99
Slaughter Pact,mp2,Amonkhet Invocations,legal,24.88,19.89
Spell Pierce,mp2,Amonkhet Invocations,legal,51.57,43.49
Stifle,mp2,Amonkhet Invocations,not_legal,44.88,39.00
Sunder,mp2,Amonkhet Invocations,not_legal,19.61,15.48
The Locust God,mp2,Amonkhet Invocations,legal,49.68,30.09
The Scarab God,mp2,Amonkhet Invocations,legal,94.21,60.79
The Scorpion God,mp2,Amonkhet Invocations,legal,28.19,22.17
Thoughtseize,mp2,Amonkhet Invocations,legal,162.56,113.50
Threads of Disloyalty,mp2,Amonkhet Invocations,legal,17.99,14.48
Through the Breach,mp2,Amonkhet Invocations,legal,89.44,82.50
Vindicate,mp2,Amonkhet Invocations,not_legal,29.28,24.47
Worship,mp2,Amonkhet Invocations,legal,35.78,33.93
Wrath of God,mp2,Amonkhet Invocations,legal,49.89,44.87
Coat of Arms,dds,Duel Decks: Mind vs. Might,legal,6.77,4.67
Abrupt Decay,mm3,Modern Masters 2017,legal,3.71,3.56
Arid Mesa,mm3,Modern Masters 2017,legal,37.95,27.61
Basilisk Collar,mm3,Modern Masters 2017,legal,4.10,3.37
Blood Moon,mm3,Modern Masters 2017,legal,17.39,17.98
Bonfire of the Damned,mm3,Modern Masters 2017,legal,2.99,2.59
Cavern of Souls,mm3,Modern Masters 2017,legal,77.00,71.41
Craterhoof Behemoth,mm3,Modern Masters 2017,legal,20.43,13.77
Cyclonic Rift,mm3,Modern Masters 2017,legal,16.82,11.17
Damnation,mm3,Modern Masters 2017,legal,26.97,17.01
Death's Shadow,mm3,Modern Masters 2017,legal,8.45,8.83
Domri Rade,mm3,Modern Masters 2017,legal,3.39,2.84
Entreat the Angels,mm3,Modern Masters 2017,legal,2.29,3.64
Gifts Ungiven,mm3,Modern Masters 2017,legal,3.63,3.85
Goblin Guide,mm3,Modern Masters 2017,legal,18.60,15.01
Grafdigger's Cage,mm3,Modern Masters 2017,legal,5.91,4.92
Griselbrand,mm3,Modern Masters 2017,legal,8.24,7.71
Inquisition of Kozilek,mm3,Modern Masters 2017,legal,4.37,4.21
Liliana of the Veil,mm3,Modern Masters 2017,legal,81.73,83.50
"Linvala, Keeper of Silence",mm3,Modern Masters 2017,legal,14.87,10.77
