card_name,set,set_name,modern,usd,eur
Lightning Greaves,cm2,Commander Anthology Volume II,legal,4.74,2.06
Oblivion Stone,cm2,Commander Anthology Volume II,legal,5.78,3.83
"Reyhan, Last of the Abzan",cm2,Commander Anthology Volume II,not_legal,3.78,2.52
Ruby Medallion,cm2,Commander Anthology Volume II,not_legal,5.18,3.12
Scavenging Ooze,cm2,Commander Anthology Volume II,legal,3.17,2.89
"Skullbriar, the Walking Grave",cm2,Commander Anthology Volume II,not_legal,3.24,2.15
The Mimeoplasm,cm2,Commander Anthology Volume II,not_legal,4.74,2.55
Thought Vessel,cm2,Commander Anthology Volume II,not_legal,6.97,3.67
Urza's Incubator,cm2,Commander Anthology Volume II,not_legal,9.87,6.26
Wurmcoil Engine,cm2,Commander Anthology Volume II,legal,20.6,13.69
Arcane Artisan,bbd,Battlebond,not_legal,7.82,6.47
Archfiend of Despair,bbd,Battlebond,not_legal,6.15,2.84
Arena Rector,bbd,Battlebond,not_legal,13.53,11.35
Bountiful Promenade,bbd,Battlebond,not_legal,6.86,4.42
Bramble Sovereign,bbd,Battlebond,not_legal,7.88,5.86
Brightling,bbd,Battlebond,not_legal,10.43,9.32
Diabolic Intent,bbd,Battlebond,not_legal,4.93,3.47
Doubling Season,bbd,Battlebond,legal,34.08,24.3
Land Tax,bbd,Battlebond,not_legal,17.56,12.81
Luxury Suite,bbd,Battlebond,not_legal,6.45,4.24
Morphic Pool,bbd,Battlebond,not_legal,9.84,5.29
Mycosynth Lattice,bbd,Battlebond,legal,7.96,3.73
Mystic Confluence,bbd,Battlebond,not_legal,2.66,2.7
"Najeela, the Blade-Blossom",bbd,Battlebond,not_legal,6.86,5.02
Nirkana Revenant,bbd,Battlebond,legal,4.9,3.22
Rowan Kenrith,bbd,Battlebond,not_legal,3.49,2.67
Sea of Clouds,bbd,Battlebond,not_legal,7.53,4.65
Seedborn Muse,bbd,Battlebond,legal,5.59,3.19
Spellseeker,bbd,Battlebond,not_legal,5.1,4.86
Spire Garden,bbd,Battlebond,not_legal,5.2,3.59
True-Name Nemesis,bbd,Battlebond,not_legal,10.34,11.48
Will Kenrith,bbd,Battlebond,not_legal,5.99,5.45
"Chandra, Bold Pyromancer",dom,Dominaria,legal,3.99,3.69
Goblin Chainwhirler,dom,Dominaria,legal,3.82,3.03
Hinterland Harbor,dom,Dominaria,legal,2.83,2.21
History of Benalia,dom,Dominaria,legal,11.36,10.18
Isolated Chapel,dom,Dominaria,legal,2.99,2.59
Jaya Ballard,dom,Dominaria,legal,3.77,2.65
"Karn, Scion of Urza",dom,Dominaria,legal,26.88,24.22
Lyra Dawnbringer,dom,Dominaria,legal,12.29,10.35
Mox Amber,dom,Dominaria,legal,10.11,8.76
"Muldrotha, the Gravetide",dom,Dominaria,legal,3.49,2.31
"Shalai, Voice of Plenty",dom,Dominaria,legal,2.63,2.62
Steel Leaf Champion,dom,Dominaria,legal,3.53,2.59
Sulfur Falls,dom,Dominaria,legal,4.64,3.82
"Teferi, Hero of Dominaria",dom,Dominaria,legal,44.37,43.73
"Teferi, Timebender",dom,Dominaria,legal,2.79,3.33
Woodland Cemetery,dom,Dominaria,legal,4.22,3.39
Darksteel Plate,ddu,Duel Decks: Elves vs. Inventors,legal,4.3,2.67
Elvish Archdruid,ddu,Duel Decks: Elves vs. Inventors,legal,2.64,2.26
"Ezuri, Renegade Leader",ddu,Duel Decks: Elves vs. Inventors,legal,3.97,3.23
Solemn Simulacrum,ddu,Duel Decks: Elves vs. Inventors,legal,4.49,2.18
"Akroma, Angel of Wrath",a25,Masters 25,legal,2.92,2.02
Ancient Stirrings,a25,Masters 25,legal,1.93,2.21
"Animar, Soul of Elements",a25,Masters 25,not_legal,7.14,7.02
Armageddon,a25,Masters 25,not_legal,2.99,2.3
"Azusa, Lost but Seeking",a25,Masters 25,legal,18.16,13.45
Blood Moon,a25,Masters 25,legal,17.41,19.12
Cascade Bluffs,a25,Masters 25,legal,5.98,6.18
Chalice of the Void,a25,Masters 25,legal,39.51,34.12
Coalition Relic,a25,Masters 25,legal,4.49,3.19
Courser of Kruphix,a25,Masters 25,legal,3.6,3.62
Eidolon of the Great Revel,a25,Masters 25,legal,3.88,5.44
Eladamri's Call,a25,Masters 25,not_legal,2.99,2.88
Ensnaring Bridge,a25,Masters 25,legal,39.97,37.29
Fetid Heath,a25,Masters 25,legal,6.22,6.61
Flooded Grove,a25,Masters 25,legal,5.22,5.21
"Gisela, Blade of Goldnight",a25,Masters 25,legal,3.99,2.93
Imperial Recruiter,a25,Masters 25,not_legal,26.94,26.36
"Jace, the Mind Sculptor",a25,Masters 25,legal,81.41,76.67
Lightning Bolt,a25,Masters 25,legal,2.92,2.7
Master of the Wild Hunt,a25,Masters 25,legal,2.86,3.15
Pact of Negation,a25,Masters 25,legal,9.13,8.12
Pendelhaven,a25,Masters 25,legal,1.99,2.85
Pernicious Deed,a25,Masters 25,not_legal,2.99,2.25
Phyrexian Obliterator,a25,Masters 25,legal,17.56,17.46
Rest in Peace,a25,Masters 25,legal,5.43,5.71
Rishadan Port,a25,Masters 25,not_legal,17.64,21.97
Rugged Prairie,a25,Masters 25,legal,4.14,3.81
Street Wraith,a25,Masters 25,legal,1.94,2.77
Summoner's Pact,a25,Masters 25,legal,4.99,5.75
"Thalia, Guardian of Thraben",a25,Masters 25,legal,9.52,10.56
Twilight Mire,a25,Masters 25,legal,5.63,7.02
Utopia Sprawl,a25,Masters 25,legal,2.99,2.27
Vendilion Clique,a25,Masters 25,legal,19.24,18.55
Vindicate,a25,Masters 25,not_legal,2.71,2.71
"Ghalta, Primal Hunger",prix,Rivals of Ixalan Promos,legal,9.11,5.52
"Angrath, Minotaur Pirate",rix,Rivals of Ixalan,legal,3.16,4.13
"Angrath, the Flame-Chained",rix,Rivals of Ixalan,legal,5.56,4.65
Azor's Gateway // Sanctum of the Sun,rix,Rivals of Ixalan,legal,2.99,3.56
Dire Fleet Daredevil,rix,Rivals of Ixalan,legal,2.29,2.75
"Elenda, the Dusk Rose",rix,Rivals of Ixalan,legal,6.99,4.08
"Ghalta, Primal Hunger",rix,Rivals of Ixalan,legal,8.69,6.58
"Huatli, Radiant Champion",rix,Rivals of Ixalan,legal,5.08,3.78
Jadelight Ranger,rix,Rivals of Ixalan,legal,5.14,5.24
"Journey to Eternity // Atzal, Cave of Eternity",rix,Rivals of Ixalan,legal,1.94,2.04
"Kumena, Tyrant of Orazca",rix,Rivals of Ixalan,legal,5.28,5.61
Polyraptor,rix,Rivals of Ixalan,legal,1.99,2.41
Radiant Destiny,rix,Rivals of Ixalan,legal,3.39,2.43
Rekindling Phoenix,rix,Rivals of Ixalan,legal,20.01,18.05
Tendershoot Dryad,rix,Rivals of Ixalan,legal,3.68,3.93
The Immortal Sun,rix,Rivals of Ixalan,legal,10.66,7.86
Twilight Prophet,rix,Rivals of Ixalan,legal,8.23,6.89
"Vraska, Scheming Gorgon",rix,Rivals of Ixalan,legal,4.24,4.84
Wayward Swordtooth,rix,Rivals of Ixalan,legal,5.04,2.75
"Zacama, Primal Calamity",rix,Rivals of Ixalan,legal,9.7,5.4
Island,ust,Unstable,legal,4.04,2.5
Swamp,ust,Unstable,legal,3.58,2.07
Adaptive Automaton,e02,Explorers of Ixalan,legal,2.93,3.22
Aggravated Assault,e02,Explorers of Ixalan,not_legal,5.35,5.1
Path to Exile,e02,Explorers of Ixalan,legal,7.9,6.02
Quicksilver Amulet,e02,Explorers of Ixalan,legal,4.42,4.86
Shared Animosity,e02,Explorers of Ixalan,legal,5.09,5.35
Time Warp,e02,Explorers of Ixalan,legal,9.99,10.44
"Archangel Avacyn // Avacyn, the Purifier",v17,From the Vault: Transform,legal,5.54,3.85
"Arlinn Kord // Arlinn, Embraced by the Moon",v17,From the Vault: Transform,legal,3.49,2.28
Bloodline Keeper // Lord of Lineage,v17,From the Vault: Transform,legal,9.74,7.56
Delver of Secrets // Insectile Aberration,v17,From the Vault: Transform,legal,9.77,8.02
"Garruk Relentless // Garruk, the Veil-Cursed",v17,From the Vault: Transform,legal,4.18,3.41
Huntmaster of the Fells // Ravager of the Fells,v17,From the Vault: Transform,legal,10.99,9.3
"Jace, Vryn's Prodigy // Jace, Telepath Unbound",v17,From the Vault: Transform,legal,16.28,16.24
"Kytheon, Hero of Akros // Gideon, Battle-Forged",v17,From the Vault: Transform,legal,3.99,3.95
"Liliana, Heretical Healer // Liliana, Defiant Necromancer",v17,From the Vault: Transform,legal,9.54,6.28
"Nissa, Vastwood Seer // Nissa, Sage Animist",v17,From the Vault: Transform,legal,6.79,4.82
Aether Vial,ima,Iconic Masters,legal,33.58,24.14
Ancestral Vision,ima,Iconic Masters,legal,9.53,10.45
Archangel of Thune,ima,Iconic Masters,legal,12.04,10.72
Auriok Champion,ima,Iconic Masters,legal,3.99,3.86
Austere Command,ima,Iconic Masters,legal,4.99,2.78
"Avacyn, Angel of Hope",ima,Iconic Masters,legal,17.3,10.6
Bloodghast,ima,Iconic Masters,legal,11.98,11.32
Consecrated Sphinx,ima,Iconic Masters,legal,12.77,8.87
Cryptic Command,ima,Iconic Masters,legal,22.47,20.64
"Elesh Norn, Grand Cenobite",ima,Iconic Masters,legal,13.14,10.64
Flusterstorm,ima,Iconic Masters,not_legal,11.95,13.05
Glimpse the Unthinkable,ima,Iconic Masters,legal,5.4,4.68
Grove of the Burnwillows,ima,Iconic Masters,legal,11.46,12.3
Horizon Canopy,ima,Iconic Masters,legal,54.64,49.47
"Jin-Gitaxias, Core Augur",ima,Iconic Masters,legal,6.29,4.7
"Kiki-Jiki, Mirror Breaker",ima,Iconic Masters,legal,7.81,5.69
Knight of the Reliquary,ima,Iconic Masters,legal,3.14,3.35
"Kokusho, the Evening Star",ima,Iconic Masters,legal,4.88,3.61
Lotus Cobra,ima,Iconic Masters,legal,5.78,4.17
Magus of the Moon,ima,Iconic Masters,legal,5.42,5.28
Mana Drain,ima,Iconic Masters,not_legal,50.53,39.57
Mishra's Bauble,ima,Iconic Masters,legal,3.34,4.09
Necropotence,ima,Iconic Masters,not_legal,5.49,3.16
Oblivion Stone,ima,Iconic Masters,legal,5.4,3.95
"Ob Nixilis, the Fallen",ima,Iconic Masters,legal,8.65,2.46
Primeval Titan,ima,Iconic Masters,legal,7.47,7.07
Restoration Angel,ima,Iconic Masters,legal,2.11,2.44
Serra Ascendant,ima,Iconic Masters,legal,6.18,5.24
"Sheoldred, Whispering One",ima,Iconic Masters,legal,12.85,7.44
Supreme Verdict,ima,Iconic Masters,legal,4.26,3.95
Thoughtseize,ima,Iconic Masters,legal,14.15,15.11
Thundermaw Hellkite,ima,Iconic Masters,legal,3.54,3.52
Urabrask the Hidden,ima,Iconic Masters,legal,3.52,2.66
"Vorinclex, Voice of Hunger",ima,Iconic Masters,legal,12.41,7.24
Goblin Chieftain,ddt,Duel Decks: Merfolk vs. Goblins,legal,2.85,2.57
Goblin Rabblemaster,ddt,Duel Decks: Merfolk vs. Goblins,legal,3.59,3.03
Master of the Pearl Trident,ddt,Duel Decks: Merfolk vs. Goblins,legal,4.04,4.73
Master of Waves,ddt,Duel Decks: Merfolk vs. Goblins,legal,1.75,2.27
Warren Instigator,ddt,Duel Decks: Merfolk vs. Goblins,legal,2.66,2.7
Carnage Tyrant,xln,Ixalan,legal,19.2,13.82
Dragonskull Summit,xln,Ixalan,legal,3.27,2.46
Drowned Catacomb,xln,Ixalan,legal,5.19,3.45
Field of Ruin,xln,Ixalan,legal,3.71,3.07
"Gishath, Sun's Avatar",xln,Ixalan,legal,2.82,2.23
Glacial Fortress,xln,Ixalan,legal,4.88,3.39
"Growing Rites of Itlimoc // Itlimoc, Cradle of the Sun",xln,Ixalan,legal,5.73,3.62
Hostage Taker,xln,Ixalan,legal,2.79,2.45
"Huatli, Dinosaur Knight",xln,Ixalan,legal,4.4,4.33
"Jace, Ingenious Mind-Mage",xln,Ixalan,legal,3.86,3.85
"Legion's Landing // Adanto, the First Fort",xln,Ixalan,legal,3.37,3.24
Ripjaw Raptor,xln,Ixalan,legal,2.98,2.95
Rootbound Crag,xln,Ixalan,legal,3.17,2.48
"Search for Azcanta // Azcanta, the Sunken Ruin",xln,Ixalan,legal,20.44,18.18
Settle the Wreckage,xln,Ixalan,legal,6.24,5.69
Sorcerous Spyglass,xln,Ixalan,legal,2.99,2.7
Sunpetal Grove,xln,Ixalan,legal,4.42,2.56
Treasure Map // Treasure Cove,xln,Ixalan,legal,2.49,2.71
"Vraska, Relic Seeker",xln,Ixalan,legal,8.93,6.61
Vraska's Contempt,xln,Ixalan,legal,13.35,9.44
Bloodforged Battle-Axe,c17,Commander 2017,not_legal,4.81,2.29
Captivating Vampire,c17,Commander 2017,legal,3.85,4.16
Disrupt Decorum,c17,Commander 2017,not_legal,9.44,5.9
Door of Destinies,c17,Commander 2017,legal,5.18,3.78
Edgar Markov,c17,Commander 2017,not_legal,3.01,2.18
Hammer of Nazahn,c17,Commander 2017,not_legal,9.71,5.6
Herald's Horn,c17,Commander 2017,not_legal,11.7,9.14
"Kess, Dissident Mage",c17,Commander 2017,not_legal,6.3,8.98
Kindred Discovery,c17,Commander 2017,not_legal,8.96,7.68
Kindred Dominance,c17,Commander 2017,not_legal,7.01,5.04
Kindred Summons,c17,Commander 2017,not_legal,4.36,2.09
Leonin Arbiter,c17,Commander 2017,legal,2.84,2.66
Mirari's Wake,c17,Commander 2017,not_legal,11.87,6.59
"Mirri, Weatherlight Duelist",c17,Commander 2017,not_legal,7.24,4.82
Path of Ancestry,c17,Commander 2017,not_legal,4.99,2.76
"Ramos, Dragon Engine",c17,Commander 2017,not_legal,7.59,4.42
Teferi's Protection,c17,Commander 2017,not_legal,27.99,21.85
The Ur-Dragon,c17,Commander 2017,not_legal,4.99,3.64
Traverse the Outlands,c17,Commander 2017,not_legal,7.49,4.79
Vindictive Lich,c17,Commander 2017,not_legal,2.36,2.09
Crested Sunmare,hou,Hour of Devastation,legal,3.88,2.84
"Nicol Bolas, God-Pharaoh",hou,Hour of Devastation,legal,5.88,4.81
"Nicol Bolas, the Deceiver",hou,Hour of Devastation,legal,4.59,6.0
"Nissa, Genesis Mage",hou,Hour of Devastation,legal,3.33,3.96
Ramunap Excavator,hou,Hour of Devastation,legal,3.73,2.14
"Razaketh, the Foulblooded",hou,Hour of Devastation,legal,6.54,3.24
The Locust God,hou,Hour of Devastation,legal,6.15,4.45
The Scarab God,hou,Hour of Devastation,legal,11.96,8.29
Torment of Hailfire,hou,Hour of Devastation,legal,5.18,2.87
Ramunap Excavator,phou,Hour of Devastation Promos,legal,4.02,3.8
Baleful Strix,e01,Archenemy: Nicol Bolas,not_legal,2.99,2.37
Dragonskull Summit,e01,Archenemy: Nicol Bolas,legal,3.35,2.29
Dreadbore,e01,Archenemy: Nicol Bolas,legal,3.49,2.62
Drowned Catacomb,e01,Archenemy: Nicol Bolas,legal,4.87,3.64
Gideon Jura,e01,Archenemy: Nicol Bolas,legal,3.36,2.59
Grand Abolisher,e01,Archenemy: Nicol Bolas,legal,5.64,3.07
Grim Lavamancer,e01,Archenemy: Nicol Bolas,legal,12.96,8.4
Lightning Bolt,e01,Archenemy: Nicol Bolas,legal,3.2,2.78
"Nicol Bolas, Planeswalker",e01,Archenemy: Nicol Bolas,legal,4.58,3.18
"Nissa, Worldwaker",e01,Archenemy: Nicol Bolas,legal,3.78,2.23
Sun Titan,e01,Archenemy: Nicol Bolas,legal,3.28,2.27
Bane of Progress,cma,Commander Anthology,not_legal,4.5,2.39
Eldrazi Monument,cma,Commander Anthology,legal,6.8,3.2
Eternal Witness,cma,Commander Anthology,legal,7.35,4.6
"Ezuri, Renegade Leader",cma,Commander Anthology,legal,3.99,3.33
"Freyalise, Llanowar's Fury",cma,Commander Anthology,not_legal,8.99,6.88
Joraga Warcaller,cma,Commander Anthology,legal,3.76,2.75
Kaalia of the Vast,cma,Commander Anthology,not_legal,16.26,11.75
Lightning Greaves,cma,Commander Anthology,legal,3.99,2.06
"Mazirek, Kraul Death Priest",cma,Commander Anthology,not_legal,4.24,2.35
Meren of Clan Nel Toth,cma,Commander Anthology,not_legal,8.99,7.42
Path to Exile,cma,Commander Anthology,legal,7.44,5.81
Priest of Titania,cma,Commander Anthology,not_legal,4.49,2.47
Song of the Dryads,cma,Commander Anthology,not_legal,6.41,4.11
Stranglehold,cma,Commander Anthology,not_legal,7.21,4.96
Sylvan Safekeeper,cma,Commander Anthology,not_legal,6.76,5.13
Thought Vessel,cma,Commander Anthology,not_legal,6.31,4.4
Thousand-Year Elixir,cma,Commander Anthology,legal,5.05,2.6
"Titania, Protector of Argoth",cma,Commander Anthology,not_legal,18.99,8.46
Anointed Procession,akh,Amonkhet,legal,5.59,3.43
As Foretold,akh,Amonkhet,legal,5.74,5.45
Combat Celebrant,akh,Amonkhet,legal,1.94,2.06
"Gideon, Martial Paragon",akh,Amonkhet,legal,2.51,3.05
Gideon of the Trials,akh,Amonkhet,legal,4.49,4.74
Hazoret the Fervent,akh,Amonkhet,legal,3.21,3.34
"Liliana, Death's Majesty",akh,Amonkhet,legal,6.67,5.41
"Liliana, Death Wielder",akh,Amonkhet,legal,4.58,4.77
"Nissa, Steward of Elements",akh,Amonkhet,legal,2.97,3.3
Rhonas the Indomitable,akh,Amonkhet,legal,7.81,5.12
Vizier of the Menagerie,akh,Amonkhet,legal,2.86,2.03
Glorybringer,pakh,Amonkhet Promos,legal,3.99,3.36
Aggravated Assault,mp2,Amonkhet Invocations,not_legal,31.74,24.64
Armageddon,mp2,Amonkhet Invocations,not_legal,31.57,26.25
Attrition,mp2,Amonkhet Invocations,not_legal,28.17,21.92
Austere Command,mp2,Amonkhet Invocations,legal,31.88,25.17
Avatar of Woe,mp2,Amonkhet Invocations,legal,20.95,19.13
Aven Mindcensor,mp2,Amonkhet Invocations,legal,26.03,20.84
Blood Moon,mp2,Amonkhet Invocations,legal,156.24,110.74
Boil,mp2,Amonkhet Invocations,legal,19.07,19.78
Bontu the Glorified,mp2,Amonkhet Invocations,legal,24.38,19.57
Capsize,mp2,Amonkhet Invocations,not_legal,39.25,31.6
Chain Lightning,mp2,Amonkhet Invocations,not_legal,31.56,29.0
Choke,mp2,Amonkhet Invocations,legal,40.43,37.49
Consecrated Sphinx,mp2,Amonkhet Invocations,legal,65.74,45.6
Containment Priest,mp2,Amonkhet Invocations,not_legal,56.29,44.57
Counterbalance,mp2,Amonkhet Invocations,legal,38.76,37.7
Counterspell,mp2,Amonkhet Invocations,not_legal,60.49,87.78
Cryptic Command,mp2,Amonkhet Invocations,legal,80.91,65.53
Damnation,mp2,Amonkhet Invocations,legal,105.55,79.89
Dark Ritual,mp2,Amonkhet Invocations,not_legal,51.27,33.2
Daze,mp2,Amonkhet Invocations,not_legal,73.76,93.16
Desolation Angel,mp2,Amonkhet Invocations,not_legal,19.55,21.21
Diabolic Edict,mp2,Amonkhet Invocations,not_legal,31.97,24.56
Diabolic Intent,mp2,Amonkhet Invocations,not_legal,40.26,36.5
Divert,mp2,Amonkhet Invocations,not_legal,18.52,15.11
Doomsday,mp2,Amonkhet Invocations,not_legal,25.94,19.87
Entomb,mp2,Amonkhet Invocations,not_legal,53.72,37.05
Forbid,mp2,Amonkhet Invocations,not_legal,28.48,22.32
Force of Will,mp2,Amonkhet Invocations,not_legal,216.27,177.7
Hazoret the Fervent,mp2,Amonkhet Invocations,legal,84.24,49.34
Kefnet the Mindful,mp2,Amonkhet Invocations,legal,23.94,20.27
Lord of Extinction,mp2,Amonkhet Invocations,legal,35.42,22.88
Loyal Retainers,mp2,Amonkhet Invocations,not_legal,28.93,25.29
Maelstrom Pulse,mp2,Amonkhet Invocations,legal,67.44,46.26
Mind Twist,mp2,Amonkhet Invocations,not_legal,30.18,27.89
No Mercy,mp2,Amonkhet Invocations,not_legal,43.89,30.66
Oketra the True,mp2,Amonkhet Invocations,legal,24.27,16.23
Omniscience,mp2,Amonkhet Invocations,legal,109.91,80.65
Opposition,mp2,Amonkhet Invocations,not_legal,22.49,21.67
Pact of Negation,mp2,Amonkhet Invocations,legal,48.85,38.01
Rhonas the Indomitable,mp2,Amonkhet Invocations,legal,52.91,38.97
Shatterstorm,mp2,Amonkhet Invocations,legal,22.89,19.99
Slaughter Pact,mp2,Amonkhet Invocations,legal,24.88,19.9
Spell Pierce,mp2,Amonkhet Invocations,legal,51.57,43.3
Stifle,mp2,Amonkhet Invocations,not_legal,44.88,39.0
Sunder,mp2,Amonkhet Invocations,not_legal,19.54,15.54
The Locust God,mp2,Amonkhet Invocations,legal,49.68,30.09
The Scarab God,mp2,Amonkhet Invocations,legal,94.15,61.83
The Scorpion God,mp2,Amonkhet Invocations,legal,28.08,22.17
Thoughtseize,mp2,Amonkhet Invocations,legal,161.02,116.65
Threads of Disloyalty,mp2,Amonkhet Invocations,legal,17.99,14.48
Through the Breach,mp2,Amonkhet Invocations,legal,89.44,81.66
Vindicate,mp2,Amonkhet Invocations,not_legal,29.24,24.47
Worship,mp2,Amonkhet Invocations,legal,36.02,33.78
Wrath of God,mp2,Amonkhet Invocations,legal,49.91,44.88
Coat of Arms,dds,Duel Decks: Mind vs. Might,legal,6.76,4.67
Abrupt Decay,mm3,Modern Masters 2017,legal,3.54,3.57
Arid Mesa,mm3,Modern Masters 2017,legal,37.94,27.48
Basilisk Collar,mm3,Modern Masters 2017,legal,4.13,3.15
Blood Moon,mm3,Modern Masters 2017,legal,17.79,18.12
Bonfire of the Damned,mm3,Modern Masters 2017,legal,2.97,2.8
Cavern of Souls,mm3,Modern Masters 2017,legal,77.49,70.52
Craterhoof Behemoth,mm3,Modern Masters 2017,legal,20.62,14.04
Cyclonic Rift,mm3,Modern Masters 2017,legal,16.66,11.37
Damnation,mm3,Modern Masters 2017,legal,26.08,17.14
Death's Shadow,mm3,Modern Masters 2017,legal,8.21,8.93
Domri Rade,mm3,Modern Masters 2017,legal,3.36,2.83
Entreat the Angels,mm3,Modern Masters 2017,legal,1.99,3.64
Gifts Ungiven,mm3,Modern Masters 2017,legal,3.72,3.88
Goblin Guide,mm3,Modern Masters 2017,legal,19.45,15.02
Grafdigger's Cage,mm3,Modern Masters 2017,legal,5.9,5.0
Griselbrand,mm3,Modern Masters 2017,legal,8.22,7.52
Inquisition of Kozilek,mm3,Modern Masters 2017,legal,4.23,4.25
Liliana of the Veil,mm3,Modern Masters 2017,legal,83.38,83.01
